GEN, BEST_TIME, BEST_SCORE
0, 201, 10
1, 201, 10
2, 201, 10
3, 201, 10
4, 201, 10
5, 201, 10
6, 201, 10
7, 201, 10
8, 201, 10
9, 201, 10
10, 201, 10
11, 201, 10
12, 201, 10
13, 201, 10
14, 201, 10
15, 201, 10
16, 201, 10
17, 201, 10
18, 201, 10
19, 201, 13
20, 201, 13
21, 201, 13
22, 201, 13
23, 201, 13
24, 201, 13
25, 201, 13
26, 201, 13
27, 201, 13
28, 201, 13
29, 201, 13
30, 201, 13
31, 201, 13
32, 201, 13
33, 201, 13
34, 201, 13
35, 201, 13
36, 201, 13
37, 201, 13
38, 201, 13
39, 201, 13
40, 201, 13
41, 201, 13
42, 201, 13
43, 201, 13
44, 201, 13
45, 201, 13
46, 201, 13
47, 201, 13
48, 201, 13
49, 201, 13
50, 201, 13
51, 201, 13
52, 201, 13
53, 201, 13
54, 201, 13
55, 201, 13
56, 201, 13
57, 201, 13
58, 201, 13
59, 201, 13
60, 201, 13
61, 201, 13
62, 201, 13
63, 201, 13
64, 201, 13
65, 201, 13
66, 201, 13
67, 201, 13
68, 201, 13
69, 201, 13
70, 201, 15
71, 201, 15
72, 201, 15
73, 201, 15
74, 201, 16
75, 201, 16
76, 201, 16
77, 201, 16
78, 201, 16
79, 201, 16
80, 201, 16
81, 201, 16
82, 201, 16
83, 201, 16
84, 201, 16
85, 201, 16
86, 201, 16
87, 201, 16
88, 201, 16
89, 201, 16
90, 201, 16
91, 201, 16
92, 201, 16
93, 201, 16
94, 201, 16
95, 201, 16
96, 201, 16
97, 201, 16
98, 201, 16
99, 201, 16
100, 201, 16
101, 201, 16
102, 201, 16
103, 201, 16
104, 201, 16
105, 201, 16
106, 201, 16
107, 201, 16
108, 201, 16
109, 201, 16
110, 201, 16
111, 201, 16
112, 201, 16
113, 201, 16
114, 201, 16
115, 201, 16
116, 201, 16
117, 201, 16
118, 201, 16
119, 201, 16
120, 201, 16
121, 201, 16
122, 201, 16
123, 201, 16
124, 201, 16
125, 201, 16
126, 201, 16
127, 201, 16
128, 201, 16
129, 201, 16
130, 201, 16
131, 201, 16
132, 201, 16
133, 201, 16
134, 201, 16
135, 201, 16
136, 201, 16
137, 201, 16
138, 201, 16
139, 201, 16
140, 201, 16
141, 201, 16
142, 201, 16
143, 201, 16
144, 201, 16
145, 201, 16
146, 201, 16
147, 201, 16
148, 201, 16
149, 201, 16
150, 201, 16
151, 201, 16
152, 201, 16
153, 201, 16
154, 201, 16
155, 201, 16
156, 201, 16
157, 201, 16
158, 201, 16
159, 201, 16
160, 201, 16
161, 201, 16
162, 201, 16
163, 201, 16
164, 201, 16
165, 201, 16
166, 201, 16
167, 201, 16
168, 201, 16
169, 201, 16
170, 201, 16
171, 201, 16
172, 201, 16
173, 201, 16
174, 201, 16
175, 201, 16
176, 201, 16
177, 201, 16
178, 201, 16
179, 201, 16
180, 201, 16
181, 201, 16
