GEN, BEST_TIME, BEST_SCORE
397, 201, 13
398, 201, 13
399, 201, 13
400, 201, 13
401, 201, 13
402, 201, 13
403, 201, 13
404, 201, 13
405, 201, 13
406, 201, 13
407, 201, 13
408, 201, 13
409, 201, 13
410, 201, 13
411, 201, 13
412, 201, 13
413, 201, 13
414, 201, 13
415, 201, 13
416, 201, 13
417, 201, 13
418, 201, 13
419, 201, 13
420, 201, 13
421, 201, 13
422, 201, 13
423, 201, 13
424, 201, 13
425, 201, 13
426, 201, 13
427, 201, 13
428, 201, 13
429, 201, 13
430, 201, 13
431, 201, 13
432, 201, 13
433, 201, 13
434, 201, 13
435, 201, 13
436, 201, 13
437, 201, 13
438, 201, 13
439, 201, 13
440, 201, 13
441, 201, 13
442, 201, 13
443, 201, 13
444, 201, 13
445, 201, 13
446, 201, 13
447, 201, 13
448, 201, 13
449, 201, 13
450, 201, 13
451, 201, 13
452, 201, 13
453, 201, 13
454, 201, 13
455, 201, 13
456, 201, 13
457, 201, 13
458, 201, 13
459, 201, 13
460, 201, 13
461, 201, 13
462, 201, 13
463, 201, 13
464, 201, 13
465, 201, 13
466, 201, 13
467, 201, 13
468, 201, 13
469, 201, 13
470, 201, 13
471, 201, 13
472, 201, 13
473, 201, 13
474, 201, 13
475, 201, 13
476, 201, 13
477, 201, 13
478, 201, 13
479, 201, 13
480, 201, 13
481, 201, 13
482, 201, 13
483, 201, 13
484, 201, 13
485, 201, 13
486, 201, 13
487, 201, 13
488, 201, 13
489, 201, 13
490, 201, 13
491, 201, 13
492, 201, 13
493, 201, 13
494, 201, 13
495, 201, 13
496, 201, 13
497, 201, 13
498, 201, 13
499, 201, 13
500, 201, 13
501, 201, 13
502, 201, 13
503, 201, 13
504, 201, 13
505, 201, 13
506, 201, 13
507, 201, 13
508, 201, 13
509, 201, 13
510, 201, 13
511, 201, 13
512, 201, 13
513, 201, 13
514, 201, 13
515, 201, 13
516, 201, 13
517, 201, 13
518, 201, 13
519, 201, 13
520, 201, 13
521, 201, 13
522, 201, 13
523, 201, 13
524, 201, 13
525, 201, 13
526, 201, 13
527, 201, 13
528, 201, 13
529, 201, 13
530, 201, 13
531, 201, 13
532, 201, 13
533, 201, 13
534, 201, 13
535, 201, 13
536, 201, 13
537, 201, 13
538, 201, 13
539, 201, 13
540, 201, 13
541, 201, 13
542, 201, 13
543, 201, 13
544, 201, 13
545, 201, 13
546, 201, 13
547, 201, 13
548, 201, 13
549, 201, 13
550, 201, 13
551, 201, 13
552, 201, 13
553, 201, 13
554, 201, 13
555, 201, 13
556, 201, 13
557, 201, 13
558, 201, 13
559, 201, 13
560, 201, 13
561, 201, 13
562, 201, 13
563, 201, 13
564, 201, 13
565, 201, 13
566, 201, 13
567, 201, 13
568, 201, 13
569, 201, 13
570, 201, 13
571, 201, 13
572, 201, 13
573, 201, 13
574, 201, 13
575, 201, 13
576, 201, 13
577, 201, 13
578, 201, 13
579, 201, 13
580, 201, 13
581, 201, 13
582, 201, 13
583, 201, 13
584, 201, 13
585, 201, 13
586, 201, 13
587, 201, 13
588, 201, 13
589, 201, 13
590, 201, 13
591, 201, 13
592, 201, 13
593, 201, 13
594, 201, 13
595, 201, 13
596, 201, 13
597, 201, 13
598, 201, 13
599, 201, 13
600, 201, 13
601, 201, 13
602, 201, 13
603, 201, 13
604, 201, 13
605, 201, 13
606, 201, 13
607, 201, 13
608, 201, 13
609, 201, 13
610, 201, 13
611, 201, 13
612, 201, 13
613, 201, 13
614, 201, 13
615, 201, 13
616, 201, 13
617, 201, 13
618, 201, 13
619, 201, 13
620, 201, 13
621, 201, 13
622, 201, 13
623, 201, 13
624, 201, 13
625, 201, 13
626, 201, 13
627, 201, 13
628, 201, 13
629, 201, 13
630, 201, 13
631, 201, 13
632, 201, 13
633, 201, 13
634, 201, 13
635, 201, 13
636, 201, 13
637, 201, 13
638, 201, 13
639, 201, 13
640, 201, 13
641, 201, 13
642, 201, 13
643, 201, 13
644, 201, 13
645, 201, 13
646, 201, 13
647, 201, 13
648, 201, 13
649, 201, 13
650, 201, 13
651, 201, 13
652, 201, 13
653, 201, 13
654, 201, 13
655, 201, 13
656, 201, 13
657, 201, 13
658, 201, 13
659, 201, 13
660, 201, 13
661, 201, 13
662, 201, 13
663, 201, 13
664, 201, 13
665, 201, 13
666, 201, 13
667, 201, 13
668, 201, 13
669, 201, 13
670, 201, 13
671, 201, 13
672, 201, 13
673, 201, 13
674, 201, 13
675, 201, 13
676, 201, 13
677, 201, 13
678, 201, 13
679, 201, 13
680, 201, 13
681, 201, 13
682, 201, 13
683, 201, 13
684, 201, 13
685, 201, 13
686, 201, 13
687, 201, 13
688, 201, 13
689, 201, 13
690, 201, 13
691, 201, 13
692, 201, 13
693, 201, 13
694, 201, 13
695, 201, 13
696, 201, 13
697, 201, 13
698, 201, 13
699, 201, 13
700, 201, 13
701, 201, 13
702, 201, 13
703, 201, 13
704, 201, 13
705, 201, 13
706, 201, 13
707, 201, 13
708, 201, 13
709, 201, 13
710, 201, 13
711, 201, 13
712, 201, 13
713, 201, 13
714, 201, 13
715, 201, 13
716, 201, 13
717, 201, 13
718, 201, 13
719, 201, 13
720, 201, 13
721, 201, 13
722, 201, 13
723, 201, 13
724, 201, 13
725, 201, 13
726, 201, 13
727, 201, 13
728, 201, 13
729, 201, 13
730, 201, 13
731, 201, 13
732, 201, 13
733, 201, 13
734, 201, 13
735, 201, 13
736, 201, 13
737, 201, 13
738, 201, 13
739, 201, 13
740, 201, 13
741, 201, 13
742, 201, 13
743, 201, 13
744, 201, 13
745, 201, 13
746, 201, 13
747, 201, 13
748, 201, 13
749, 201, 13
750, 201, 13
751, 201, 13
752, 201, 13
753, 201, 13
754, 201, 13
755, 201, 16
756, 189, 29
757, 189, 29
758, 189, 29
759, 189, 29
760, 189, 29
761, 189, 29
762, 189, 29
763, 189, 29
764, 189, 29
765, 189, 29
766, 189, 29
767, 189, 29
768, 189, 29
769, 189, 29
770, 189, 29
771, 189, 29
772, 189, 29
773, 189, 29
774, 189, 29
775, 189, 29
776, 189, 29
777, 189, 29
778, 189, 29
779, 189, 29
780, 189, 29
781, 189, 29
782, 189, 29
783, 189, 29
784, 189, 29
785, 189, 29
786, 189, 29
787, 189, 29
788, 189, 29
789, 189, 29
790, 189, 29
791, 189, 29
792, 189, 29
793, 189, 29
794, 189, 29
795, 189, 29
796, 189, 29
797, 189, 29
798, 189, 29
799, 189, 29
800, 189, 29
801, 189, 29
802, 189, 29
803, 189, 29
804, 189, 29
805, 189, 29
806, 189, 29
807, 189, 29
808, 189, 29
809, 189, 29
810, 189, 29
811, 189, 29
812, 189, 29
813, 189, 29
814, 189, 29
815, 189, 29
816, 189, 29
817, 189, 29
818, 189, 29
819, 189, 29
820, 189, 29
821, 189, 29
822, 189, 29
823, 189, 29
824, 189, 29
825, 189, 29
826, 189, 29
827, 189, 29
828, 189, 29
829, 189, 29
830, 189, 29
831, 189, 29
832, 189, 29
833, 189, 29
834, 189, 29
835, 189, 29
836, 189, 29
837, 189, 29
838, 189, 29
839, 189, 29
840, 189, 29
841, 189, 29
842, 189, 29
843, 189, 29
844, 189, 29
845, 189, 29
846, 189, 29
847, 189, 29
848, 189, 29
849, 189, 29
850, 189, 29
851, 189, 29
852, 189, 29
853, 189, 29
854, 189, 29
855, 189, 29
856, 189, 29
857, 189, 29
858, 189, 29
859, 189, 29
860, 189, 29
861, 189, 29
862, 189, 29
863, 189, 29
864, 189, 29
865, 189, 29
866, 189, 29
867, 189, 29
868, 189, 29
869, 189, 29
870, 189, 29
871, 189, 29
872, 189, 29
873, 189, 29
874, 189, 29
875, 189, 29
876, 189, 29
877, 189, 29
878, 189, 29
879, 189, 29
880, 189, 29
881, 189, 29
882, 189, 29
883, 189, 29
884, 189, 29
885, 189, 29
886, 189, 29
887, 189, 29
888, 189, 29
889, 189, 29
890, 189, 29
891, 189, 29
892, 189, 29
893, 189, 29
894, 189, 29
895, 189, 29
896, 189, 29
897, 189, 29
898, 189, 29
899, 189, 29
900, 189, 29
901, 189, 29
902, 189, 29
903, 189, 29
904, 189, 29
905, 189, 29
906, 189, 29
907, 189, 29
908, 189, 29
909, 189, 29
910, 189, 29
911, 189, 29
912, 189, 29
913, 189, 29
914, 189, 29
915, 189, 29
916, 189, 29
917, 189, 29
918, 189, 29
919, 189, 29
920, 189, 29
921, 189, 29
922, 189, 29
923, 189, 29
924, 189, 29
925, 189, 29
926, 189, 29
927, 189, 29
928, 189, 29
929, 189, 29
930, 189, 29
931, 189, 29
932, 189, 29
933, 189, 29
934, 189, 29
935, 189, 29
936, 189, 29
937, 189, 29
938, 189, 29
939, 189, 29
940, 189, 29
941, 189, 29
942, 189, 29
943, 189, 29
944, 189, 29
945, 189, 29
946, 189, 29
947, 189, 29
948, 189, 29
949, 189, 29
950, 189, 29
951, 189, 29
952, 189, 29
953, 189, 29
954, 189, 29
955, 189, 29
956, 189, 29
957, 189, 29
958, 189, 29
959, 189, 29
960, 189, 29
961, 189, 29
962, 189, 29
963, 189, 29
964, 189, 29
965, 189, 29
966, 189, 29
967, 189, 29
968, 189, 29
969, 189, 29
970, 189, 29
971, 189, 29
972, 189, 29
973, 189, 29
974, 189, 29
975, 189, 29
976, 189, 29
977, 189, 29
978, 189, 29
979, 189, 29
980, 189, 29
981, 189, 29
982, 189, 29
983, 189, 29
984, 189, 29
985, 189, 29
986, 189, 29
987, 189, 29
988, 189, 29
989, 189, 29
990, 189, 29
991, 189, 29
992, 189, 29
993, 189, 29
994, 189, 29
995, 189, 29
996, 189, 29
997, 189, 29
998, 189, 29
999, 189, 29
1000, 189, 29
1001, 189, 29
1002, 189, 29
1003, 189, 29
1004, 189, 29
1005, 189, 29
1006, 189, 29
1007, 189, 29
1008, 189, 29
1009, 189, 29
1010, 189, 29
1011, 189, 29
1012, 189, 29
1013, 189, 29
1014, 189, 29
1015, 189, 29
1016, 189, 29
1017, 189, 29
1018, 189, 29
1019, 189, 29
1020, 189, 29
1021, 189, 29
1022, 189, 29
1023, 189, 29
1024, 189, 29
1025, 189, 29
1026, 189, 29
1027, 189, 29
1028, 189, 29
1029, 189, 29
1030, 189, 29
1031, 189, 29
1032, 189, 29
1033, 189, 29
1034, 189, 29
1035, 189, 29
1036, 189, 29
1037, 189, 29
1038, 189, 29
1039, 189, 29
1040, 189, 29
1041, 189, 29
1042, 189, 29
1043, 189, 29
1044, 189, 29
1045, 189, 29
1046, 189, 29
1047, 189, 29
1048, 189, 29
1049, 189, 29
1050, 189, 29
1051, 189, 29
1052, 189, 29
1053, 189, 29
1054, 189, 29
1055, 189, 29
1056, 189, 29
1057, 189, 29
1058, 189, 29
1059, 189, 29
1060, 189, 29
1061, 189, 29
1062, 189, 29
1063, 189, 29
1064, 189, 29
1065, 189, 29
1066, 189, 29
1067, 189, 29
1068, 189, 29
1069, 189, 29
1070, 189, 29
1071, 189, 29
1072, 189, 29
1073, 189, 29
1074, 189, 29
1075, 189, 29
1076, 189, 29
1077, 189, 29
1078, 189, 29
1079, 189, 29
1080, 189, 29
1081, 189, 29
1082, 189, 29
1083, 189, 29
1084, 189, 29
1085, 189, 29
1086, 189, 29
1087, 189, 29
1088, 189, 29
1089, 189, 29
1090, 189, 29
1091, 189, 29
1092, 189, 29
1093, 189, 29
1094, 189, 29
1095, 189, 29
1096, 189, 29
1097, 189, 29
1098, 189, 29
1099, 189, 29
1100, 189, 29
1101, 189, 29
1102, 189, 29
1103, 189, 29
1104, 189, 29
1105, 189, 29
1106, 189, 29
1107, 189, 29
1108, 189, 29
1109, 189, 29
1110, 189, 29
1111, 189, 29
1112, 189, 29
1113, 189, 29
1114, 189, 29
1115, 189, 29
1116, 189, 29
1117, 189, 29
1118, 189, 29
1119, 189, 29
1120, 189, 29
1121, 189, 29
1122, 189, 29
1123, 189, 29
1124, 189, 29
1125, 189, 29
1126, 189, 29
1127, 189, 29
1128, 189, 29
1129, 189, 29
1130, 189, 29
1131, 189, 29
1132, 189, 29
1133, 189, 29
1134, 189, 29
1135, 189, 29
1136, 189, 29
1137, 189, 29
1138, 189, 29
1139, 189, 29
1140, 189, 29
1141, 189, 29
1142, 189, 29
1143, 189, 29
1144, 189, 29
1145, 189, 29
1146, 189, 29
1147, 189, 29
1148, 189, 29
1149, 189, 29
1150, 189, 29
1151, 189, 29
1152, 189, 29
1153, 189, 29
1154, 189, 29
1155, 189, 29
1156, 189, 29
1157, 189, 29
1158, 189, 29
1159, 189, 29
1160, 189, 29
1161, 189, 29
1162, 189, 29
1163, 189, 29
1164, 189, 29
1165, 189, 29
1166, 189, 29
1167, 189, 29
1168, 189, 29
1169, 189, 29
1170, 189, 29
1171, 189, 29
1172, 189, 29
1173, 189, 29
1174, 189, 29
1175, 189, 29
1176, 189, 29
1177, 189, 29
1178, 189, 29
1179, 189, 29
1180, 189, 29
1181, 189, 29
