GEN, BEST_TIME, BEST_SCORE
0, 201, 13
1, 201, 13
2, 201, 13
3, 201, 13
4, 201, 13
5, 201, 13
6, 201, 13
7, 201, 13
8, 201, 13
9, 201, 13
10, 201, 13
11, 201, 13
12, 201, 13
13, 201, 13
14, 201, 15
15, 201, 15
16, 201, 15
17, 201, 15
18, 201, 15
19, 201, 15
20, 201, 15
21, 201, 15
22, 201, 15
23, 201, 15
24, 201, 15
25, 201, 15
26, 201, 15
27, 201, 15
28, 201, 15
29, 201, 15
30, 201, 15
31, 201, 15
32, 201, 15
33, 201, 15
34, 201, 15
35, 201, 15
36, 201, 15
37, 201, 15
38, 201, 15
39, 201, 15
40, 201, 15
41, 201, 15
42, 201, 15
43, 201, 15
44, 201, 15
45, 201, 15
46, 201, 15
47, 201, 15
48, 201, 15
49, 201, 15
50, 201, 15
51, 201, 15
52, 201, 15
53, 201, 15
54, 201, 15
55, 201, 15
56, 201, 15
57, 201, 15
58, 201, 15
59, 201, 15
60, 201, 15
61, 201, 15
62, 201, 15
63, 201, 15
64, 201, 15
65, 201, 15
66, 201, 15
67, 201, 15
68, 201, 15
69, 201, 15
70, 201, 15
71, 201, 15
72, 201, 15
73, 201, 15
74, 201, 15
75, 201, 15
76, 201, 15
77, 201, 15
78, 201, 15
79, 201, 15
80, 201, 15
81, 201, 15
82, 201, 15
83, 201, 15
84, 201, 15
85, 201, 15
86, 201, 15
87, 201, 15
88, 201, 15
89, 201, 15
90, 201, 15
91, 201, 15
92, 201, 15
93, 201, 15
94, 201, 15
95, 201, 15
96, 201, 15
97, 201, 15
98, 201, 15
99, 201, 15
100, 201, 15
101, 201, 15
102, 201, 15
103, 201, 15
104, 201, 15
105, 201, 15
106, 201, 15
107, 201, 15
108, 201, 15
109, 201, 15
110, 201, 15
111, 201, 15
112, 201, 15
113, 201, 15
114, 201, 15
115, 201, 15
116, 201, 15
117, 201, 15
118, 201, 15
119, 201, 15
120, 201, 15
121, 201, 15
122, 201, 15
123, 201, 15
124, 201, 15
125, 201, 15
126, 201, 15
127, 201, 15
128, 201, 15
129, 201, 15
130, 201, 15
131, 201, 15
132, 201, 15
133, 201, 15
134, 201, 15
135, 201, 15
136, 201, 15
137, 201, 15
138, 201, 15
139, 201, 15
140, 201, 15
141, 201, 15
142, 201, 15
143, 201, 15
144, 201, 15
145, 201, 15
146, 201, 15
147, 201, 15
148, 201, 15
149, 201, 15
150, 201, 15
151, 201, 15
152, 201, 15
153, 201, 15
154, 201, 15
155, 201, 15
156, 201, 15
157, 201, 15
158, 201, 15
159, 201, 15
160, 201, 15
161, 201, 15
162, 201, 15
163, 201, 15
164, 201, 15
165, 201, 15
166, 201, 15
167, 201, 15
168, 201, 15
169, 201, 15
170, 201, 15
171, 201, 15
172, 201, 15
173, 201, 15
174, 201, 15
175, 201, 15
176, 201, 15
177, 201, 15
178, 201, 15
179, 201, 15
180, 201, 15
181, 201, 15
182, 201, 15
183, 201, 15
184, 201, 15
185, 201, 15
186, 201, 15
187, 201, 15
188, 201, 15
189, 201, 15
190, 201, 15
191, 201, 15
192, 201, 15
193, 201, 15
194, 201, 15
195, 201, 15
196, 201, 15
197, 201, 15
198, 201, 15
199, 201, 15
200, 201, 15
201, 201, 15
202, 201, 15
203, 201, 15
204, 201, 15
205, 201, 15
206, 201, 15
207, 201, 15
208, 201, 15
209, 201, 15
210, 201, 15
211, 201, 15
212, 201, 15
213, 201, 15
214, 201, 15
215, 201, 15
216, 201, 15
217, 201, 15
218, 201, 15
219, 201, 15
220, 201, 15
221, 201, 15
222, 201, 15
223, 201, 15
224, 201, 15
225, 201, 15
226, 201, 15
227, 201, 15
228, 201, 15
229, 201, 15
230, 201, 15
231, 201, 15
232, 201, 15
