GEN, BEST_TIME, BEST_SCORE
0, 201, 10
1, 201, 10
2, 201, 10
3, 201, 10
4, 201, 10
5, 201, 10
6, 201, 10
7, 201, 10
8, 201, 10
9, 201, 10
10, 201, 10
11, 201, 10
12, 201, 10
13, 201, 10
14, 201, 10
15, 201, 10
16, 201, 10
17, 201, 10
18, 201, 10
19, 201, 10
20, 201, 10
21, 201, 10
22, 201, 10
23, 201, 10
24, 201, 10
25, 201, 10
26, 201, 10
27, 201, 10
28, 201, 10
29, 201, 10
30, 201, 10
31, 201, 10
32, 201, 10
33, 201, 10
34, 201, 10
35, 201, 10
36, 201, 10
37, 201, 10
38, 201, 10
39, 201, 10
40, 201, 10
41, 201, 10
42, 201, 10
43, 201, 10
44, 201, 10
45, 201, 10
46, 201, 10
47, 201, 10
48, 201, 10
49, 201, 10
50, 201, 10
51, 201, 10
52, 201, 10
53, 201, 10
54, 201, 10
55, 201, 10
56, 201, 10
57, 201, 10
58, 201, 10
59, 201, 10
60, 201, 10
61, 201, 10
62, 201, 10
63, 201, 10
64, 201, 10
65, 201, 10
66, 201, 10
67, 201, 10
68, 201, 10
69, 201, 10
70, 201, 10
71, 201, 10
72, 201, 10
73, 201, 10
74, 201, 10
75, 201, 10
76, 201, 10
77, 201, 10
78, 201, 10
79, 201, 10
80, 201, 10
81, 201, 10
82, 201, 10
83, 201, 10
84, 201, 10
85, 201, 10
86, 201, 10
87, 201, 10
88, 201, 10
89, 201, 10
90, 201, 10
91, 201, 10
92, 201, 10
93, 201, 10
94, 201, 10
95, 201, 10
96, 201, 10
97, 201, 10
98, 201, 10
99, 201, 10
100, 201, 10
101, 201, 10
102, 201, 10
103, 201, 10
104, 201, 10
105, 201, 10
106, 201, 10
107, 201, 10
108, 201, 10
109, 201, 10
110, 201, 13
111, 201, 13
112, 201, 13
113, 201, 13
114, 201, 13
115, 201, 13
116, 201, 13
117, 201, 13
118, 201, 13
119, 201, 13
120, 201, 13
121, 201, 13
122, 201, 13
123, 201, 13
124, 201, 13
125, 201, 13
126, 201, 13
127, 201, 13
128, 201, 13
129, 201, 13
130, 201, 13
131, 201, 13
132, 201, 13
133, 201, 13
134, 201, 13
135, 201, 13
136, 201, 13
137, 201, 16
138, 201, 16
139, 201, 16
140, 201, 16
141, 201, 17
142, 201, 17
143, 201, 17
144, 201, 17
145, 201, 17
146, 201, 17
147, 201, 17
148, 201, 17
149, 201, 17
150, 201, 17
151, 201, 17
152, 201, 17
153, 201, 17
154, 201, 17
155, 201, 17
156, 201, 17
157, 201, 17
158, 201, 17
159, 201, 17
160, 201, 17
161, 201, 17
162, 201, 17
163, 201, 17
164, 201, 17
165, 201, 17
166, 201, 17
167, 201, 17
168, 201, 17
169, 201, 17
170, 201, 17
171, 201, 17
172, 201, 17
173, 201, 17
174, 201, 17
175, 201, 17
176, 201, 17
177, 201, 17
178, 201, 17
179, 201, 17
180, 201, 17
181, 201, 17
